Edad,Hombres,Mujeres,Tasa mortalidad
0-4,1038501,977680,0.05
5-9,1198575,1125661,0.05
10-14,1276540,1195708,0.2
15-19,1135092,1074999,0.2
20-24,1158980,1106079,0.2
25-29,1214262,1172812,0.2
30-34,1360661,1355721,0.2
35-39,1718964,1722935,0.2
40-44,2057321,1993237,0.4
45-49,1983751,1901196,0.4
50-54,1801956,1790229,1.3
55-59,1649984,1702474,1.3
60-64,1377492,1462902,3.6
65-69,1126819,1233249,3.6
70-74,1008116,1167409,8
75-79,775359,970866,8
80-84,523802,758672,14.8
85-89,378061,657830,14.8
90-94,142700,308267,14.8
95-99,31325,88285,14.8
100+,2387,9923,14.8
